cuda
>>> Training on scheme:  random_split
Training on fold 1
asformer

>>> Training

Train - Loss:0.9614, Accuracy:0.8622, F1:0.8475, Precision:0.9375, Recall:0.7732                || Val - Loss:0.4733, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:59
Train - Loss:0.8951, Accuracy:0.8776, F1:0.8588, Precision:1.0000, Recall:0.7526                || Val - Loss:0.5273, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:60
Train - Loss:1.0724, Accuracy:0.8367, F1:0.8025, Precision:1.0000, Recall:0.6701                || Val - Loss:0.5354, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:61
Train - Loss:1.1929, Accuracy:0.8265, F1:0.7901, Precision:0.9846, Recall:0.6598                || Val - Loss:0.5396, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:62
Train - Loss:1.0677, Accuracy:0.8367, F1:0.8049, Precision:0.9851, Recall:0.6804                || Val - Loss:0.5325, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:63
Train - Loss:1.0600, Accuracy:0.8214, F1:0.7879, Precision:0.9559, Recall:0.6701                || Val - Loss:0.5345, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:64
Train - Loss:0.9786, Accuracy:0.8520, F1:0.8242, Precision:1.0000, Recall:0.7010                || Val - Loss:0.5417, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:65
Train - Loss:1.0095, Accuracy:0.8367, F1:0.8025, Precision:1.0000, Recall:0.6701                || Val - Loss:0.5396, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:66
Train - Loss:0.9677, Accuracy:0.8418, F1:0.8098, Precision:1.0000, Recall:0.6804                || Val - Loss:0.5471, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:67
Train - Loss:1.0051, Accuracy:0.8418, F1:0.8121, Precision:0.9853, Recall:0.6907                || Val - Loss:0.5478, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:68
Train - Loss:1.1665, Accuracy:0.8112, F1:0.7730, Precision:0.9545, Recall:0.6495                || Val - Loss:0.5439, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:69
Train - Loss:1.1138, Accuracy:0.7653, F1:0.6892, Precision:1.0000, Recall:0.5258                || Val - Loss:0.5483, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:70
Train - Loss:1.1130, Accuracy:0.8571, F1:0.8313, Precision:1.0000, Recall:0.7113                || Val - Loss:0.5516, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:71
Train - Loss:1.1211, Accuracy:0.8520, F1:0.8324, Precision:0.9474, Recall:0.7423                || Val - Loss:0.5376, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:72
Train - Loss:1.0122, Accuracy:0.8163, F1:0.7805, Precision:0.9552, Recall:0.6598                || Val - Loss:0.5359, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:73
